,name,id_
0,Jamaica,m.03_r3
1,Jamaican English,m.01428y
2,Jamaican Creole English Language,m.04ygk0
3,Jamaica,m.03_r3
4,Jamaican English,m.01428y
5,James K. Polk,m.042f1
6,United States Representative,m.02_bcst
7,Governor of Tennessee,m.04x_n9q
8,Speaker of the United States House of Representatives,m.0cgqx
9,Coronation Street,m.01_2n
10,William Roache,m.01j_gs
11,JaMarcus Russell,m.0cjcdj
12,Mobile,m.058cm
13,George Washington Carver,m.03djm
14,Diamond,m.0xhsh
15,Benjamin Franklin,m.019fz
16,Lightning rod,m.0135nr
17,Bifocals,m.013cqs
18,Glass harmonica,m.01zh8g
19,Franklin stove,m.029mmz
20,Richard Nixon,m.06c97
21,Pat Nixon,m.023v03
22,Ohio,m.05kkh
23,John Kasich,m.02zzm_
24,"Return J. Meigs, Jr.",m.0340r0
25,Ted Strickland,m.039rqy
26,John F. Kennedy,m.0d3k14
27,Lyndon B. Johnson,m.0f7fy
28,Fukushima Daiichi Nuclear Power Plant,m.02vkzy2
29,Japan,m.03_3d
30,Okuma,m.03k_g5
31,United Kingdom,m.07ssc
32,England,m.02jx1
33,Northern Ireland,m.05bcl
34,Scotland,m.06q1r
35,Wales,m.0j5g9
36,Louisiana,m.04ly1
37,Central Time Zone,m.02fqwt
38,Augustine of Hippo,m.0w6w
39,Philosopher,m.02h6fbs
40,Physician,m.05t4q
41,Writer,m.0cbd2
42,Keyshia Cole,m.01pkxs9
43,Francine Lons,m.0n9hj_f
44,Leon Cole,m.0n9hk0h
45,Sal Gibson,m.0wq93rk
46,Egypt,m.02k54
47,Semi-presidential system,m.01dw03
48,Provisional government,m.02tz3y
49,"Martin Luther King, Jr.",m.051cc
50,Memphis,m.0c_m3
51,Edgar Allan Poe,m.02lt8
52,Baltimore,m.094jv
53,Atlanta,m.013yq
54,Atlanta Symphony Orchestra,m.0130ft
55,Turner Field,m.020fp1
56,Cobb Energy Performing Arts Centre,m.027r6hr
57,Four Seasons Hotel Atlanta,m.027t71h
58,Underground Atlanta,m.029fnx
59,Atlanta Marriott Marquis,m.02jnft
60,Georgia World Congress Center,m.02wl1b
61,The Tabernacle,m.02xmrp
62,Peachtree Road Race,m.030pkm
63,Georgia Aquarium,m.033h7k
64,Georgia Dome,m.038bv6
65,Philips Arena,m.038gvs
66,Omni Coliseum,m.039xmp
67,Hyatt Regency Atlanta,m.03cspcp
68,Centennial Olympic Park,m.03l1zc
69,Zoo Atlanta,m.03q1hw
70,Six Flags Over Georgia,m.03sm22
71,Six Flags White Water,m.03spbl
72,Atlanta Cyclorama & Civil War Museum,m.03wm34
73,Georgia State Capitol,m.03xrf5
74,World of Coca-Cola,m.04_mbv
75,CNN Center,m.04d135
76,Fernbank Science Center,m.04htb5
77,Fernbank Museum of Natural History,m.04jny9
78,Fox Theatre,m.04qrhq
79,Woodruff Arts Center,m.050m_5
80,Margaret Mitchell House & Museum,m.050mtz
81,"Martin Luther King, Jr. National Historic Site",m.050my1
82,Atlanta History Center,m.050n0y
83,Variety Playhouse,m.05c25f2
84,Jimmy Carter Library and Museum,m.06bxs4
85,Masquerade,m.0b5g4p
86,Arbor Place Mall,m.0c3cp2
87,Atlanta Ballet,m.0fpmfg
88,Center for Puppetry Arts,m.0gln9p
89,Atlanta Jewish Film Festival,m.0j28sdt
90,Anna Bligh,m.072_m3
91,Electoral district of South Brisbane,m.026q11g
92,Andy Murray,m.03wc52
